time,open,high,low,close,Volume,Volume MA
1643312520,15418.3,15429.8,15418.2,15421.3,0,0
1643312580,15419.8,15426.3,15419.8,15425.3,0,0
1643312640,15424.3,15429.3,15422.8,15426.3,0,0
1643312700,15427.8,15442.8,15424.8,15435.3,0,0
1643312760,15434.8,15441.3,15433.8,15438.8,0,0
1643312820,15437.8,15437.8,15428.8,15433.3,0,0
1643312880,15432.8,15432.8,15417.2,15422.3,0,0
1643312940,15423.8,15426.8,15420.8,15424.3,0,0
1643313000,15423.8,15423.8,15414.2,15414.2,0,0
1643313060,15413.2,15413.7,15404.7,15408.2,0,0
1643313120,15406.7,15416.7,15404.7,15407.2,0,0
1643313180,15407.7,15408.2,15391.7,15394.7,0,0
1643313240,15395.2,15399.2,15389.7,15393.2,0,0
1643313300,15392.7,15393.2,15380.2,15383.2,0,0
1643313360,15383.7,15390.2,15380.2,15389.2,0,0
1643313420,15389.7,15402.7,15388.2,15399.2,0,0
1643313480,15398.7,15410.7,15396.2,15407.2,0,0
1643313540,15406.7,15407.2,15397.7,15404.2,0,0
1643313600,15403.2,15421.7,15401.7,15419.2,0,0
1643313660,15419.7,15421.2,15415.7,15417.2,0,0
1643313720,15416.7,15430.8,15416.2,15428.3,0,0
1643313780,15427.8,15432.8,15419.7,15425.8,0,0
1643313840,15425.3,15425.3,15414.7,15419.7,0,0
1643313900,15419.2,15423.2,15412.7,15421.2,0,0
1643313960,15420.2,15429.8,15417.7,15422.7,0,0
1643314020,15423.2,15426.8,15421.2,15423.2,0,0
1643314080,15422.7,15434.3,15422.2,15430.8,0,0
1643314140,15431.8,15432.3,15409.7,15412.7,0,0
1643314200,15413.2,15417.2,15406.7,15408.2,0,0
1643314260,15407.7,15407.7,15400.2,15400.2,0,0
1643314320,15400.7,15409.2,15398.2,15403.2,0,0
1643314380,15402.7,15404.2,15387.7,15388.2,0,0
1643314440,15387.7,15397.2,15387.7,15395.2,0,0
1643314500,15396.2,15397.7,15379.7,15386.7,0,0
1643314560,15386.2,15396.2,15384.7,15395.2,0,0
1643314620,15394.7,15407.7,15393.7,15401.2,0,0
1643314680,15400.7,15411.2,15399.2,15409.2,0,0
1643314740,15407.2,15423.2,15406.2,15418.2,0,0
1643314800,15417.2,15426.8,15406.7,15409.7,0,0
1643314860,15410.2,15410.2,15399.2,15401.2,0,0
1643314920,15400.2,15405.2,15396.7,15400.2,0,0
1643314980,15400.7,15408.2,15398.7,15404.2,0,0
1643315040,15403.7,15416.2,15400.2,15412.7,0,0
1643315100,15412.2,15420.7,15411.7,15416.2,0,0
1643315160,15415.2,15424.2,15409.2,15419.2,0,0
1643315220,15419.7,15435.3,15419.2,15432.3,0,0
1643315280,15431.8,15432.8,15428.8,15430.3,0,0
1643315340,15429.3,15432.3,15421.2,15422.7,0,0
1643315400,15423.2,15433.3,15422.2,15426.2,0,0
1643315460,15426.7,15426.7,15419.7,15423.7,0,0
1643315520,15423.2,15432.3,15418.7,15429.3,0,0
1643315580,15428.2,15435.3,15415.2,15418.7,0,0
1643315640,15417.2,15423.7,15414.2,15419.2,0,0
1643315700,15421.2,15427.7,15418.7,15423.2,0,0
1643315760,15419.7,15423.7,15415.2,15417.2,0,0
1643315820,15416.7,15419.2,15413.2,15415.2,0,0
1643315880,15414.2,15416.2,15405.2,15405.2,0,0
1643315940,15405.7,15412.2,15404.2,15409.7,0,0
1643316000,15410.2,15414.2,15405.2,15414.2,0,0
1643316060,15414.7,15437.3,15414.7,15436.3,0,0
1643316120,15435.3,15444.3,15435.3,15443.8,0,0
1643316180,15442.8,15449.3,15441.8,15446.3,0,0
1643316240,15445.3,15449.8,15438.3,15441.3,0,0
1643316300,15441.8,15450.8,15441.8,15450.3,0,0
